Epoch #0 , Acc_train=0.10510149598121643, Loss_train=3.5934932231903076, Acc_valid=0.45352309942245483, Loss_valid=1.9154136180877686
Epoch #1 , Acc_train=0.6392895579338074, Loss_train=1.2293394804000854, Acc_valid=0.7305931448936462, Loss_valid=0.9170593619346619
Epoch #2 , Acc_train=0.7565104365348816, Loss_train=0.7963690757751465, Acc_valid=0.7816480994224548, Loss_valid=0.7117039561271667
Epoch #3 , Acc_train=0.7964075803756714, Loss_train=0.637884259223938, Acc_valid=0.8010549545288086, Loss_valid=0.633403480052948
Epoch #4 , Acc_train=0.8191105723381042, Loss_train=0.5531967282295227, Acc_valid=0.8151870965957642, Loss_valid=0.5891972780227661
Epoch #5 , Acc_train=0.8370726704597473, Loss_train=0.49505648016929626, Acc_valid=0.8201631903648376, Loss_valid=0.5680354833602905
Epoch #6 , Acc_train=0.8496928215026855, Loss_train=0.4510331451892853, Acc_valid=0.8251393437385559, Loss_valid=0.5557399392127991
Epoch #7 , Acc_train=0.8599425554275513, Loss_train=0.4153342545032501, Acc_valid=0.8288216590881348, Loss_valid=0.5430225729942322
Epoch #8 , Acc_train=0.8699919581413269, Loss_train=0.38569706678390503, Acc_valid=0.8311106562614441, Loss_valid=0.5383870601654053
Epoch #9 , Acc_train=0.8800080418586731, Loss_train=0.3598410487174988, Acc_valid=0.8295183181762695, Loss_valid=0.5478659272193909
Epoch #10 , Acc_train=0.8856837749481201, Loss_train=0.33613237738609314, Acc_valid=0.8282245397567749, Loss_valid=0.5570290088653564
Epoch #11 , Acc_train=0.8933293223381042, Loss_train=0.31502196192741394, Acc_valid=0.8290206789970398, Loss_valid=0.5672767758369446
Epoch #12 , Acc_train=0.8983373641967773, Loss_train=0.2976468503475189, Acc_valid=0.8299164175987244, Loss_valid=0.5729994177818298
Epoch #13 , Acc_train=0.9040464758872986, Loss_train=0.282205730676651, Acc_valid=0.8289211988449097, Loss_valid=0.585660994052887
Epoch #14 , Acc_train=0.9100894927978516, Loss_train=0.2667539119720459, Acc_valid=0.8270302414894104, Loss_valid=0.6012783050537109
Epoch #15 , Acc_train=0.9144965410232544, Loss_train=0.25348806381225586, Acc_valid=0.8243431448936462, Loss_valid=0.6176716685295105
Epoch #16 , Acc_train=0.9175680875778198, Loss_train=0.2436932921409607, Acc_valid=0.8255374431610107, Loss_valid=0.6357908844947815
Epoch #17 , Acc_train=0.9220085740089417, Loss_train=0.23404566943645477, Acc_valid=0.8229498267173767, Loss_valid=0.6494157314300537
Epoch #18 , Acc_train=0.9243456125259399, Loss_train=0.22304688394069672, Acc_valid=0.8213574886322021, Loss_valid=0.6619992852210999
Epoch #19 , Acc_train=0.9267494678497314, Loss_train=0.21450947225093842, Acc_valid=0.8189689517021179, Loss_valid=0.6828738451004028

real	6m34.769s

Result , Acc_test=0.8145161271095276, Loss_test=0.6541479825973511
