Epoch #0 , Acc_train=0.03836137801408768, Loss_train=3.8401806354522705, Acc_valid=0.12022293359041214, Loss_valid=3.791289806365967
Epoch #1 , Acc_train=0.4502871334552765, Loss_train=2.12449049949646, Acc_valid=0.6391321420669556, Loss_valid=1.225250005722046
Epoch #2 , Acc_train=0.6955795884132385, Loss_train=1.0209416151046753, Acc_valid=0.7432324886322021, Loss_valid=0.8726521730422974
Epoch #3 , Acc_train=0.7641893625259399, Loss_train=0.773292064666748, Acc_valid=0.7792595624923706, Loss_valid=0.7259785532951355
Epoch #4 , Acc_train=0.79811030626297, Loss_train=0.6461116075515747, Acc_valid=0.7938893437385559, Loss_valid=0.6652321815490723
Epoch #5 , Acc_train=0.8170071840286255, Loss_train=0.5702922940254211, Acc_valid=0.8022491931915283, Loss_valid=0.6336148977279663
Epoch #6 , Acc_train=0.8326656222343445, Loss_train=0.5165122151374817, Acc_valid=0.8075239062309265, Loss_valid=0.6167945861816406
Epoch #7 , Acc_train=0.8459535241127014, Loss_train=0.4750814139842987, Acc_valid=0.8113057613372803, Loss_valid=0.6052336692810059
Epoch #8 , Acc_train=0.8558694124221802, Loss_train=0.440930038690567, Acc_valid=0.8149880766868591, Loss_valid=0.5983794331550598
Epoch #9 , Acc_train=0.8632478713989258, Loss_train=0.4120491147041321, Acc_valid=0.8179737329483032, Loss_valid=0.5912649035453796
Epoch #10 , Acc_train=0.8698250651359558, Loss_train=0.3872901499271393, Acc_valid=0.8202627301216125, Loss_valid=0.591785192489624
Epoch #11 , Acc_train=0.8777710795402527, Loss_train=0.36545634269714355, Acc_valid=0.8192675113677979, Loss_valid=0.5935864448547363
Epoch #12 , Acc_train=0.8840811848640442, Loss_train=0.3460606336593628, Acc_valid=0.818869411945343, Loss_valid=0.6001460552215576
Epoch #13 , Acc_train=0.8903579115867615, Loss_train=0.32904136180877686, Acc_valid=0.8179737329483032, Loss_valid=0.6092284321784973
Epoch #14 , Acc_train=0.8942641615867615, Loss_train=0.31386372447013855, Acc_valid=0.8169785141944885, Loss_valid=0.619867205619812
Epoch #15 , Acc_train=0.8973023295402527, Loss_train=0.3008754253387451, Acc_valid=0.8172770738601685, Loss_valid=0.6285476088523865
Epoch #16 , Acc_train=0.9022436141967773, Loss_train=0.2871898412704468, Acc_valid=0.8144904375076294, Loss_valid=0.6405590772628784
Epoch #17 , Acc_train=0.906617283821106, Loss_train=0.2742071747779846, Acc_valid=0.8117038011550903, Loss_valid=0.6528095006942749
Epoch #18 , Acc_train=0.9125934839248657, Loss_train=0.26237353682518005, Acc_valid=0.8113057613372803, Loss_valid=0.663841187953949
Epoch #19 , Acc_train=0.9153645634651184, Loss_train=0.25470274686813354, Acc_valid=0.8102110028266907, Loss_valid=0.6744601130485535

real	6m30.205s

Result , Acc_test=0.8079637289047241, Loss_test=0.6273872256278992

